Macht;"";OTHER;ohne
Maß;"";OTHER;0
mehr;"";OTHER;0
Minister;"";OTHER;0
Misserfolg;"";OTHER;0
Misstrauen;"";OTHER;0
Mitbestimmung;"";OTHER;0
Mittel;"";OTHER;(Pl.)
Monat;"";OTHER;0
monatlich;"";OTHER;0
Mord;"";OTHER;0
morgen;"";OTHER;0
Morgen;"";OTHER;0
morgens;"";OTHER;0
morgig-;"";OTHER;0
Nachfrage;"";OTHER;0
Nachrichten;"";OTHER;(Pl.)
Nahrungsmittel;"";OTHER;0
Netz;"";OTHER;0
nicken;"";OTHER;0
Null;"";OTHER;0
Ober;"";OTHER;0
offenbar;"";OTHER;0
Öffentlichkeit;"";OTHER;0
Opposition;"";OTHER;0
Parlament;"";OTHER;0
Partei;"";OTHER;0
Pfannkuchen;"";OTHER;0
Plakat;"";OTHER;0
Platte;"";OTHER;0
Präsident;"";OTHER;0
Praxis, Praxen;"";VERB;0
Presse;"";OTHER;0
Psychologie;"";OTHER;0
Pudding;"";OTHER;0
realisieren;"";OTHER;0
Recherche;"";OTHER;0
Reform;"";OTHER;0
regieren;"";OTHER;0
Regierung;"";OTHER;0
Reihenfolge;"";OTHER;0
Religion;"";OTHER;0
Rest;"";OTHER;ohne
Resultat;"";OTHER;0
Rolle;"";OTHER;0
Schallplatte;"";OTHER;0
Scheck;"";OTHER;0
Scheckkarte;"";OTHER;0
scheiden;"";OTHER;0
Schlagzeile;"";OTHER;0
Schmuggel;"";OTHER;0
Schuhmacher;"";OTHER;0
Schuss;"";OTHER;0
schweigen;"";OTHER;0
schwul;"";OTHER;0
sich behümen;"";OTHER;0
sich ereignen;"";OTHER;0
sich etwas leisten können;"";OTHER;0
sich hinsetzen;"";OTHER;0
sich verspäten;"";OTHER;0
sich weigern;"";OTHER;0
Sitzung;"";OTHER;0
Skandal;"";OTHER;0
Slip;"";OTHER;0
Smog;"";OTHER;0
Soldat;"";OTHER;0
sozial;"";OTHER;0
Sprichwort;"";OTHER;0
Sprung;"";OTHER;0
Stadt;"";OTHER;ohne
Standpunkt;"";OTHER;0
Summe;"";OTHER;0
Tag;"";OTHER;0
Tageszeit;"";OTHER;0
täglich;"";OTHER;0
Taschenbuch;"";OTHER;0
Tatsache;"";OTHER;0
tatsächlich;"";OTHER;0
taub;"";OTHER;0
Telefonbuch;"";OTHER;0
Telefonkarte;"";OTHER;0
Telefonzelle;"";OTHER;0
tippen;"";OTHER;0
töten;"";OTHER;0
Trend;"";OTHER;0
Tuch;"";OTHER;0
Türklinke;"";OTHER;0
Überschrift;"";OTHER;0
Übertragung;"";OTHER;0
Übung;"";OTHER;0
Ufer;"";OTHER;0
Universität;"";OTHER;0
Unterhaltung;"";OTHER;ohne
Unterhemd;"";OTHER;0
Unterhose;"";OTHER;0
Unterricht;"";OTHER;0
Unterrock;"";OTHER;0
Unterschiede;"";OTHER;0
Unterwäsche;"";OTHER;0
Verbesserung;"";OTHER;0
Verbrechen;"";OTHER;0
verdächtigen;"";OTHER;0
Verfahren;"";OTHER;0
vergeblich;"";OTHER;0
Vergnügen;"";OTHER;0
Verhältnisse;"";OTHER;(Pl.)
Verkehrsverein;"";OTHER;0
Verkehrszeichen;"";OTHER;0
verlieren;"";OTHER;0
vermuten;"";OTHER;0
veröffentlichen;"";OTHER;0
verraten;"";OTHER;0
Versammlung;"";OTHER;0
versäumen;"";OTHER;0
verschlechtern;"";OTHER;0
verursachen;"";OTHER;0
verzeihen;"";OTHER;0
Video-;"";OTHER;0
Vieh;"";OTHER;0
Vohang;"";OTHER;0
Volk;"";OTHER;0
Volkshochschule;"";OTHER;0
völlig;"";OTHER;0
Voraussetzung;"";OTHER;0
vorder-;"";OTHER;0
Vorstellung;"";OTHER;ohne
Vortrag;"";OTHER;0
Vorurteil;"";OTHER;0
vorziehen;"";OTHER;0
Waffe;"";OTHER;0
Wahl;"";OTHER;ohne
wesentlich;"";OTHER;0
wessen;"";OTHER;0
Wiederhören;"";OTHER;0
Wiedersehen;"";OTHER;0
Wirkung;"";OTHER;0
Wissenschaft;"";OTHER;0
Woche;"";OTHER;0
Wochenende;"";OTHER;0
Wochentag;"";OTHER;0
Wohl;"";OTHER;0
Wohnblock;"";OTHER;0
zahlreich;"";OTHER;0
Zeichnung;"";OTHER;0
Zeile;"";OTHER;0
Zorn;"";OTHER;0
zornig;"";OTHER;0
zu viel;"";OTHER;0
zu wenig;"";OTHER;0
Zusammenhang;"";OTHER;0
Zustände ;"";OTHER;(Pl.)
Zwech;"";OTHER;ohne
Zweifel;"";OTHER;0
