anstellen, stellt an,stellte an, hat angestellt;poner en marcha,encender,contratar,colocar contra,efectuar, realizar,arreglárselas con,hacer;VERB;1. Können Sie bitte die Heizung anstellen? 2. Mein Schwager ist bei einer Möbelfirma angestellt.3. Da vorne ist die Kasse. Du musst dich anstellen.
anstrengen sich, strengt sich an, strengte sich an, hat sich angestrengt;"";VERB;1. Diese Arbeit strengt mich sehr an. 2. Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.
anwenden, wendet an, wandte an, hat angewandt/ angewendet;aplicar,usar,recurrir a;VERB;Diese Salbe muss man dreimal am Tag anwenden.
antworten, antwortet, antwortete, hat geantwortet;contestar a,responder a,responder con a;VERB;Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.
anzeigen, zeigt an, zeigte an, hat angezeigt;denunciar,quemar AmC,publicar (en un periódico),indicar, señalar,visualizar,indicar,mostrar;VERB;Wenn Sie hier parken, zeige ich Sie an.
anziehen, zieht an, zog an, hat angezogen;arrancar,ir subiendo,vestir,poner,encoger,encogerse de,apretar,absorber,atraer;VERB;1. Du musst dich wärmer anziehen, sonst erkältest du dich.2. Morgen ziehe ich mir etwas Wärmeres an.3. Zieh dich bitte an! Wir müssen gehen.
arbeiten, arbeitet, arbeitete, hat gearbeitet;trabajar,laburar Arg, Urug,funcionar,alabearse, bornearse,hacer, producir;VERB;1. Meine Cousine arbeitet zu viel. 2. Arzu arbeitet als Krankenschwester im Krankenhaus.
ärgern, ärgert, ärgerte, hat geärgert;fastidiar, molestar;VERB;ärgern Sie sich nicht.
atmen, atmet, atmete, hat geatmet;respirar;VERB;Er hat eine Erkältung und kann nicht durch die Nase atmen.
auffallen, fällt auf, fiel auf, ist aufgefallen;llamar la atención, saltar a la vista,notarse;VERB;Mir ist aufgefallen, dass Harriett ganz blass ist.
aufführen, führt auf, führte auf, hat aufgeführt;representar,presentar,exponer,nombrar,dar;VERB;Die Kinder führen zu Weihnachten ein Theaterstück auf.
aufgeben, gibt auf, gab auf, hat aufgegeben;darse por vencido,rendirse,renunciar,desistir,expedir,enviar,facturar,poner,encargar,pedir,proponer,plantear,dar,imponer,abandonar,perder,dar por muerto,desahuciar,dar por perdido,dejar,renunciar a;VERB;1. Ich habe auf der Post ein Paket aufgegeben. 2. Man darf nie aufgeben. Es gibt immer eine Hoffnung.
